City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,cannonvale,-20.2833,148.7,65.59,63,12,12.24,AU,1683667218
142,moyobamba,-6.05,-76.9667,70.54,87,93,2.26,PE,1683667219
143,hadibu,12.65,54.0333,82.83,69,100,1.81,YE,1683667219
144,amos,48.5669,-78.1162,59.0,28,0,5.99,CA,1683667219
145,jiayuguan,39.8167,98.3,49.84,17,96,8.55,CN,1683667219
146,calatayud,41.3535,-1.6432,55.71,74,33,7.58,ES,1683667219
147,tovarkovskiy,53.6822,38.2092,40.68,66,35,6.08,RU,1683667220
148,cabo san lucas,22.8909,-109.9124,95.31,16,20,18.41,MX,1683667065
149,kopong,-24.4833,25.8833,57.43,77,0,2.3,BW,1683667220
150,smederevska palanka,44.3655,20.9589,47.28,87,95,5.77,RS,1683667220
151,dudinka,69.4058,86.1778,-16.44,100,72,2.57,RU,1683667221
152,port lincoln,-34.7333,135.8667,57.9,74,65,8.34,AU,1683667221
153,utrik,11.2278,169.8474,80.92,82,93,13.65,MH,1683667221
154,piton saint-leu,-21.2196,55.3151,73.47,73,0,5.75,RE,1683667221
155,st. john's,47.5649,-52.7093,40.68,86,75,27.63,CA,1683667221
156,bikenibeu village,1.3673,173.1241,85.96,74,75,4.61,KI,1683667222
157,nuuk,64.1835,-51.7216,32.61,93,100,2.3,GL,1683667222
158,san antonio de pale,-1.4014,5.6325,83.12,78,12,5.48,GQ,1683667222
159,broken hill,-31.95,141.4333,45.21,83,0,8.25,AU,1683667222
160,altai,46.3722,96.2583,30.9,76,87,6.29,MN,1683667223
161,qamdo,31.1667,97.2333,31.57,68,76,5.12,CN,1683667223
162,dalaba,10.7,-12.25,69.22,57,100,3.69,GN,1683667223
163,cuyo,10.8525,121.0086,83.64,77,86,7.63,PH,1683667223
164,zheleznogorsk-ilimskiy,56.5768,104.1217,45.03,87,51,3.02,RU,1683667224
165,timimoun,29.2639,0.231,80.98,12,0,5.75,DZ,1683667224
166,kone,-21.0595,164.8658,71.82,73,35,6.58,NC,1683667224
167,petropavlovsk-kamchatsky,53.0452,158.6483,39.79,60,0,4.47,RU,1683667224
168,witu,-2.3889,40.4382,78.96,85,50,10.36,KE,1683667224
169,kidal,18.4411,1.4078,97.38,9,76,10.07,ML,1683667225
170,pingliang,35.5392,106.6861,49.06,81,100,5.55,CN,1683667225
171,port elizabeth,-33.918,25.5701,64.31,96,20,5.75,ZA,1683667225
172,celestun,20.8667,-90.4,87.89,60,100,14.14,MX,1683667225
173,alo,7.4178,6.7371,83.26,69,96,5.35,NG,1683667226
174,bredasdorp,-34.5322,20.0403,56.98,91,88,2.13,ZA,1683667016
175,laguna,38.421,-121.4238,74.28,41,0,5.75,US,1683667226
176,nar'yan-mar,67.6713,53.087,30.38,88,100,10.04,RU,1683667226
177,purpe,64.4803,76.6897,32.2,98,100,16.89,RU,1683667226
178,iskateley,67.6803,53.1512,30.29,88,100,10.07,RU,1683667227
179,sitka,57.0531,-135.33,51.69,62,20,4.61,US,1683667227
180,tura,25.5198,90.2201,75.6,43,0,5.82,IN,1683667227
181,inhambane,-23.865,35.3833,68.38,87,10,7.54,MZ,1683667227
182,okhotsk,59.3833,143.3,37.83,80,6,0.54,RU,1683667228
183,mahibadhoo,3.7833,72.9667,82.29,80,95,9.93,MV,1683667228
184,pacific grove,36.6177,-121.9166,66.88,72,20,11.5,US,1683667064
185,kugesi,56.029,47.2925,40.66,52,0,2.24,RU,1683667228
186,faya-largeau,17.9257,19.1043,91.49,10,54,9.62,TD,1683667229
187,linton,39.0348,-87.1658,77.97,56,2,10.96,US,1683667229
188,la'ie,21.6477,-157.9253,84.16,66,57,10.0,US,1683667229
189,tobruk,32.0836,23.9764,67.01,65,100,17.9,LY,1683667229
190,sinabang,2.4803,96.3801,80.56,77,97,5.37,ID,1683667096
191,ribeira grande,38.5167,-28.7,63.77,97,100,10.0,PT,1683667230
192,nyurba,63.2842,118.3319,40.82,97,99,7.02,RU,1683667230
193,zhezqazghan,47.7833,67.7667,62.13,43,95,9.69,KZ,1683667230
194,teknaf,20.8624,92.3058,78.93,90,1,3.94,BD,1683667230
195,smithers,54.7804,-127.1743,64.72,29,20,4.61,CA,1683667231
196,karratha,-20.7377,116.8463,72.21,44,84,11.83,AU,1683667231
197,gadzhiyevo,69.2551,33.3362,33.31,99,100,4.63,RU,1683667231
198,beruniy,41.6911,60.7525,62.56,48,0,4.61,UZ,1683667231
199,vuktyl,63.8567,57.3094,32.74,99,100,5.37,RU,1683667232
200,castillos,-34.1667,-53.8333,59.61,59,94,9.91,UY,1683667232
201,nyala,12.05,24.8833,85.17,15,94,3.78,SD,1683667232
202,korla,41.7597,86.1469,58.62,31,0,6.06,CN,1683667232
203,preobrazheniye,42.9019,133.9064,43.32,48,35,6.87,RU,1683667233
204,qui nhon,13.7667,109.2333,77.67,89,100,4.0,VN,1683667233
205,cristalina,-16.7686,-47.6136,66.87,56,100,4.56,BR,1683667233
206,stephenville,32.2207,-98.2023,81.39,61,40,9.22,US,1683667233
207,podporozh'ye,60.9112,34.1706,39.15,67,55,4.16,RU,1683667234
208,flying fish cove,-10.4217,105.6791,80.28,83,75,10.36,CX,1683667234
209,thompson,55.7435,-97.8558,68.16,45,100,9.22,CA,1683667234
210,kingaroy,-26.5333,151.8333,45.97,48,0,3.89,AU,1683667234
211,isangel,-19.55,169.2667,77.11,83,75,2.3,VU,1683667235
212,xinyuan,37.3,99.0,27.91,96,100,1.1,CN,1683667235
213,dorogobuzh,54.915,33.2972,40.35,67,26,4.14,RU,1683667235
214,luganville,-15.5333,167.1667,80.04,75,52,6.33,VU,1683667235
215,nabire,-3.3667,135.4833,76.23,96,100,2.24,ID,1683667236
216,nadi,-17.8,177.4167,78.8,73,20,5.75,FJ,1683667236
217,leesburg,39.1157,-77.5636,68.0,65,100,5.01,US,1683666971
218,aurangabad,19.8833,75.3333,90.07,26,96,7.96,IN,1683667237
219,selfoss,63.9331,-20.9971,49.05,86,73,4.63,IS,1683667237
220,vorgashor,67.5833,63.95,18.46,100,99,3.38,RU,1683667237
221,st. paul,44.9444,-93.0933,69.57,73,100,9.22,US,1683667159
222,aweil,8.7682,27.4002,87.21,36,43,5.1,SS,1683667239
223,kyabe,9.4515,18.9449,90.01,40,100,4.92,TD,1683667239
224,metlili chaamba,32.2667,3.6333,74.34,20,0,4.61,DZ,1683667239
225,hai duong,20.9333,106.3167,78.8,97,98,5.55,VN,1683667240
226,tadine,-21.55,167.8833,74.08,68,98,13.58,NC,1683667240
227,agneaux,49.119,-1.1061,50.41,92,59,14.32,FR,1683667240
228,mossel bay,-34.1831,22.146,55.33,82,15,5.7,ZA,1683667240
229,acapulco de juarez,16.8634,-99.8901,89.42,66,0,13.8,MX,1683667241
230,granja,-3.1203,-40.8261,79.25,81,90,2.64,BR,1683667241
231,abra pampa,-22.7205,-65.697,58.77,11,100,3.06,AR,1683667241
232,bologoye,57.8799,34.1068,43.77,65,98,4.36,RU,1683667241
233,kemise,10.7167,39.8667,67.62,82,92,4.76,ET,1683667242
234,port blair,11.6667,92.75,83.46,78,100,15.93,IN,1683667242
235,kerikeri,-35.2268,173.9474,62.91,93,36,5.99,NZ,1683667090
236,igrim,63.1906,64.4162,41.09,83,100,11.81,RU,1683667242
237,puerto baquerizo moreno,-0.9,-89.6,79.79,89,75,13.8,EC,1683667243
238,wahpeton,46.2652,-96.6059,70.92,94,100,8.05,US,1683667159
239,port-cartier,50.0334,-66.8654,52.02,34,100,13.18,CA,1683667243
240,ulladulla,-35.35,150.4667,48.15,76,0,4.61,AU,1683667243
241,olyokminsk,60.3736,120.4264,38.35,92,32,6.02,RU,1683667244
242,lesnoy,57.6198,63.0784,37.58,43,0,5.3,RU,1683667244
243,sioux city,42.5,-96.4003,77.67,54,20,11.5,US,1683667244
244,mount pearl,47.5166,-52.7813,39.33,85,75,27.63,CA,1683667094
245,tolanaro,-25.0319,46.9987,75.27,88,40,16.11,MG,1683667244
246,jefferson city,38.5767,-92.1735,80.51,41,0,6.91,US,1683667245
247,whakatane,-37.9585,176.9854,66.78,92,32,17.63,NZ,1683667245
248,tangalle,6.024,80.7911,78.08,90,99,11.36,LK,1683667245
249,den burg,53.0542,4.7972,53.94,99,100,14.97,NL,1683667245
250,shush,32.1942,48.2436,81.16,37,69,14.34,IR,1683667245
251,gourcy,13.2167,-2.35,93.49,19,100,5.19,BF,1683667246
252,portland,45.5234,-122.6762,66.61,61,40,4.0,US,1683666699
253,romanovo,52.6182,81.2271,51.82,54,100,8.72,RU,1683667246
254,vila velha,-20.3297,-40.2925,75.15,84,0,2.3,BR,1683667171
255,hithadhoo,-0.6,73.0833,81.97,73,100,7.29,MV,1683667247
256,keflavik,64.0049,-22.5624,48.63,93,75,5.75,IS,1683667247
257,bubaque,11.2833,-15.8333,80.78,79,100,15.12,GW,1683667247
258,cruzeiro do sul,-29.5128,-51.9853,66.07,82,0,1.99,BR,1683667247
259,san jose de guanipa,8.8872,-64.1651,88.14,47,95,14.74,VE,1683667248
260,mitrofanovka,49.9708,39.6939,43.56,63,100,9.6,RU,1683667248
261,karasburg,-28.0167,18.75,65.66,21,0,10.27,NA,1683667248
262,oppdal,62.5943,9.6912,41.61,96,100,11.86,NO,1683667248
263,mount gambier,-37.8333,140.7667,53.56,81,99,3.67,AU,1683667249
264,manta,-0.95,-80.7333,85.78,66,40,10.36,EC,1683667249
265,onguday,50.75,86.15,49.53,73,89,2.04,RU,1683667249
266,leh,34.1667,77.5833,27.66,66,93,7.29,IN,1683667249
267,blackwater,-23.5833,148.8833,49.59,51,0,7.05,AU,1683667250
268,mount isa,-20.7333,139.5,53.37,35,0,8.05,AU,1683667250
269,zeya,53.75,127.2667,38.14,89,100,3.24,RU,1683667250
270,la ronge,55.1001,-105.2842,68.22,29,75,4.61,CA,1683667250
271,la manga del mar menor,37.6413,-0.7165,71.6,84,0,4.0,ES,1683667251
272,port saint john's,-31.6229,29.5448,64.72,89,10,7.49,ZA,1683667251
273,acarau,-2.8856,-40.12,79.9,84,91,9.6,BR,1683667251
274,labytnangi,66.6572,66.4183,17.04,91,57,5.28,RU,1683667251
275,ladario,-19.0047,-57.6017,71.89,94,75,9.22,BR,1683667095
276,touros,-5.1989,-35.4608,80.31,77,19,13.11,BR,1683667252
277,katabu,-4.9333,122.5167,75.54,94,99,1.28,ID,1683667252
278,port shepstone,-30.7414,30.455,65.23,82,32,6.55,ZA,1683667252
279,la passe,45.5549,-0.8967,57.97,74,1,18.5,FR,1683667252
280,fagundes,-7.355,-35.775,73.76,82,99,8.3,BR,1683667253
281,mar del plata,-38.0023,-57.5575,63.09,67,0,6.91,AR,1683667053
282,zaysan,47.4667,84.8667,59.07,37,29,8.5,KZ,1683667253
283,galliano,29.4422,-90.2992,84.2,70,40,6.91,US,1683667101
284,hammerfest,70.6634,23.6821,43.25,75,0,5.75,NO,1683667254
285,berja,36.8469,-2.9497,65.77,50,63,4.07,ES,1683667254
286,ust-nera,64.5667,143.2,29.37,69,99,9.01,RU,1683667254
287,porto murtinho,-21.6989,-57.8825,73.67,83,100,4.29,BR,1683667254
288,north battleford,52.7834,-108.2847,68.09,32,40,10.36,CA,1683667081
289,visby,57.6409,18.296,46.81,61,38,10.36,SE,1683667254
290,fortuna,40.5982,-124.1573,61.93,67,0,16.11,US,1683666989
291,mundemba,4.9479,8.8724,77.14,95,84,2.3,CM,1683667255
292,pul-e khumri,35.9446,68.7151,64.15,25,0,2.39,AF,1683667255
293,duba,27.3513,35.6901,76.42,51,30,5.79,SA,1683667255
294,moultrie,31.1799,-83.7891,88.83,48,20,8.05,US,1683667255
295,ceeldheer,3.8488,47.1806,80.06,84,74,16.24,SO,1683667256
296,sale,34.0389,-6.8166,68.63,94,20,0.0,MA,1683667156
297,sassnitz,54.5167,13.65,51.8,72,6,20.62,DE,1683667256
298,sao joao da barra,-21.6403,-41.0511,77.09,78,91,11.74,BR,1683667256
299,broome,42.2506,-75.833,63.46,38,0,10.36,US,1683667257
300,pucallpa,-8.3791,-74.5539,80.64,69,75,11.5,PE,1683667257
301,togur,58.3631,82.8265,30.42,57,0,3.8,RU,1683667257
302,tuzantla,19.2029,-100.5668,96.78,17,0,6.67,MX,1683667257
303,idri,27.5,13.2667,68.86,37,11,12.06,LY,1683667258
304,washington,47.5001,-120.5015,64.8,41,100,4.43,US,1683667258
305,dunedin,-45.8742,170.5036,47.8,81,100,7.0,NZ,1683667258
306,bel ombre,-4.6167,55.4167,82.24,78,20,6.91,SC,1683667258
307,tsiombe,-25.3,45.4833,71.26,93,99,8.12,MG,1683667258
308,shiyan,32.6475,110.7781,55.53,96,100,1.48,CN,1683667259
309,camapua,-19.5314,-54.0439,77.34,70,100,1.36,BR,1683667259
310,kosonsoy,41.2561,71.5508,57.76,30,0,7.11,UZ,1683667259
311,gorontalo,0.5412,123.0595,75.72,92,100,3.11,ID,1683667261
312,kupang,-10.1667,123.5833,79.38,89,20,14.97,ID,1683667261
313,ramapuram,13.1167,79.2,80.71,81,97,3.2,IN,1683667261
314,itoman,26.1247,127.6694,68.02,73,20,6.91,JP,1683667262
315,alice springs,-23.7,133.8833,31.55,80,0,6.6,AU,1683667262
316,east london,-33.0153,27.9116,63.63,76,0,7.09,ZA,1683667263
317,dyatlovo,53.4631,25.4068,42.57,58,8,6.2,BY,1683667263
318,constantia,44.1833,28.65,45.7,77,13,7.7,RO,1683667252
319,numan,9.4667,12.0333,90.97,31,100,5.14,NG,1683667264
320,camana,-16.6228,-72.7111,71.13,76,25,9.62,PE,1683667264
321,udachny,66.4167,112.4,25.45,73,19,23.11,RU,1683667264
322,bonthe,7.5264,-12.505,83.16,79,99,7.61,SL,1683667264
323,pandan,14.0453,124.1694,79.09,85,100,2.68,PH,1683667265
324,kangaba,11.9333,-8.4167,91.94,27,84,8.16,ML,1683667265
325,keetmanshoop,-26.5833,18.1333,68.83,22,0,10.47,NA,1683667265
326,villa gesell,-37.2639,-56.973,55.06,53,100,8.19,AR,1683667265
327,grootfontein,-19.5667,18.1167,66.11,31,0,3.29,NA,1683667266
328,portage la prairie,49.9728,-98.2926,69.89,53,75,10.36,CA,1683667057
329,extrema,-22.8547,-46.3183,66.0,85,100,1.88,BR,1683667266
330,glencoe,-28.1783,30.147,51.1,88,16,1.74,ZA,1683667266
331,minas de marcona,-15.2119,-75.1103,65.35,71,17,14.74,PE,1683667266
332,newport,51.5877,-2.9984,53.71,89,100,8.66,GB,1683666610
333,ar ruways,24.1103,52.7306,85.19,38,57,11.7,AE,1683667267
